name,sub_network,category,lock_family,jump_type,jump_desc,d,X,C_AB,R_obs,chosen_lock,prime_value,err_before,R_corr_eta,err_after_eta,R_corr_kappa,err_after_kappa
LaPt2Si2,gap1,SC_Binary,mixed,intra,thermal@Tc→gap(Δ),3,156.219,5.57921,1.21817,rational,1.2,0.0149133,1.20743,0.0061538,1.20743,0.0061538
LaPt2Si2,gap1,SC_Binary,mixed,intra,gap(Δ)→Debye,2,156.219,5.57921,128.241,integer,128,0.00187944,127.488,0.00401998,127.488,0.00401998
LaPt2Si2,gap1,SC_Binary,mixed,intra,Debye→electronic(E_F),1,156.219,5.57921,200.678,integer,200,0.00337919,200.089,0.000442592,200.089,0.000442592
LaPt2Si2,gap2,SC_Binary,mixed,intra,thermal@Tc→gap(Δ),3,161.798,5.57921,0.584579,rational,0.571429,0.0224954,0.579243,0.0134901,0.579243,0.0134901
LaPt2Si2,gap2,SC_Binary,mixed,intra,gap(Δ)→Debye,2,161.798,5.57921,276.777,rational,277.714,0.00338537,275.093,0.00952901,275.093,0.00952901
LaPt2Si2,gap2,SC_Binary,mixed,intra,Debye→electronic(E_F),1,161.798,5.57921,212.968,rational,212.625,0.00161082,212.32,0.00143637,212.32,0.00143637
LaPt2Si2,gap1-vs-gap2,SC_Binary,rational,inter,gap(gap1) / gap(gap2),,,,2.16785,rational,2.14286,0.0115277,2.16785,0.0115277,2.16785,0.0115277
LaPt2Si2,gap1-vs-gap2,SC_Binary,rational,inter,Debye(gap1) / Debye(gap2),,,,1.00444,rational,1,0.00442319,1.00444,0.00442319,1.00444,0.00442319
LiFeAs,hole-band,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,15.0831,1.44244,4.20775,rational,4.2,0.00184077,4.20416,0.000990639,4.20416,0.000990639
LiFeAs,hole-band,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,15.0831,1.44244,3.5846,rational,3.57143,0.00367444,3.58257,0.00310889,3.58257,0.00310889
LiFeAs,hole-band,SC_IronBased,mixed,intra,Debye→electronic(E_F),1,15.0831,1.44244,6.73721,rational,6.75,0.00189796,6.7353,0.00218223,6.7353,0.00218223
LiFeAs,electron-band,SC_IronBased,mixed,intra,thermal@Tc→gap(Δ),3,13.6406,1.44244,1.48647,rational,1.5,0.00910237,1.48533,0.00987956,1.48533,0.00987956
LiFeAs,electron-band,SC_IronBased,mixed,intra,gap(Δ)→Debye,2,13.6406,1.44244,9.17654,rational,9.14286,0.00367004,9.17183,0.0031586,9.17183,0.0031586
